Country Code,Country Name,Region,Domain,Slope,Intercept,R2,SE_Pred_2030,Backtest_RMSE
DOM,Dominican Republic,Central America & Caribbean,Economic Fragility,0.001416,-2.165023,0.0628,0.023023,0.0635
DOM,Dominican Republic,Central America & Caribbean,Food Security,0.007457,-14.374043,0.4942,0.031581,0.0731
DOM,Dominican Republic,Central America & Caribbean,Healthcare,-0.000867,1.90666,0.0823,0.012194,0.0653
DOM,Dominican Republic,Central America & Caribbean,Political Stability,0.003789,-6.993039,0.4165,0.018886,0.066
ECU,Ecuador,South America,Climate & Energy,0.002476,-4.349522,0.3954,0.012891,0.092
ECU,Ecuador,South America,Digital Infrastructure,0.025504,-51.060403,0.9695,0.019043,0.0978
ECU,Ecuador,South America,Economic Fragility,0.004986,-9.339838,0.3234,0.030371,0.0635
ECU,Ecuador,South America,Food Security,0.000532,-0.347736,0.0046,0.032831,0.0731
ECU,Ecuador,South America,Healthcare,0.005876,-11.627153,0.9201,0.007289,0.0653
ECU,Ecuador,South America,Political Stability,0.007043,-13.652093,0.591,0.024673,0.066
ESP,Spain,Europe,Climate & Energy,0.002461,-4.293769,0.2893,0.016243,0.092
ESP,Spain,Europe,Digital Infrastructure,0.033291,-66.411387,0.9532,0.031073,0.0978
ESP,Spain,Europe,Economic Fragility,0.000722,-0.730773,0.025,0.018993,0.0635
ESP,Spain,Europe,Food Security,-0.000515,1.842033,0.0133,0.018686,0.0731
ESP,Spain,Europe,Healthcare,0.003398,-6.480896,0.6729,0.009978,0.0653
ESP,Spain,Europe,Political Stability,0.002726,-4.836601,0.0926,0.035926,0.066
EST,Estonia,Europe,Climate & Energy,0.002383,-4.07216,0.4622,0.010825,0.092
EST,Estonia,Europe,Digital Infrastructure,0.027862,-55.433533,0.9169,0.035326,0.0978
EST,Estonia,Europe,Economic Fragility,0.002011,-3.342507,0.0993,0.025509,0.0635
EST,Estonia,Europe,Food Security,0.001426,-2.060956,0.068,0.022239,0.0731
EST,Estonia,Europe,Healthcare,0.000428,-0.517697,0.0744,0.006351,0.0653
EST,Estonia,Europe,Political Stability,-0.001564,3.917286,0.2113,0.012726,0.066
ETH,Ethiopia,Africa,Climate & Energy,0.000437,-0.438988,0.0029,0.034068,0.092
ETH,Ethiopia,Africa,Digital Infrastructure,0.003898,-7.798954,0.4134,0.019554,0.0978
ETH,Ethiopia,Africa,Economic Fragility,-0.002438,5.539115,0.1547,0.024004,0.0635
ETH,Ethiopia,Africa,Food Security,0.004739,-9.000139,0.0513,0.085812,0.0731
ETH,Ethiopia,Africa,Healthcare,-0.001574,3.269875,0.0575,0.026842,0.0653
ETH,Ethiopia,Africa,Political Stability,-0.005329,10.999953,0.3397,0.031286,0.066
FIN,Finland,Europe,Climate & Energy,0.001331,-1.992212,0.4485,0.006217,0.092
FIN,Finland,Europe,Digital Infrastructure,0.021189,-41.948378,0.6933,0.059353,0.0978
FIN,Finland,Europe,Economic Fragility,0.000939,-1.162225,0.0792,0.013474,0.0635
FIN,Finland,Europe,Food Security,-0.001859,4.615291,0.2916,0.012206,0.0731
FIN,Finland,Europe,Healthcare,-0.001647,3.723334,0.0836,0.022969,0.0653
FIN,Finland,Europe,Political Stability,-0.00961,20.232354,0.9381,0.010393,0.066
FRA,France,Europe,Climate & Energy,0.002506,-4.399709,0.2759,0.017101,0.092
FRA,France,Europe,Digital Infrastructure,0.036749,-73.269894,0.8763,0.058148,0.0978
FRA,France,Europe,Economic Fragility,0.000253,0.216595,0.0072,0.012553,0.0635
FRA,France,Europe,Food Security,-0.000292,1.424248,0.0059,0.016013,0.0731
FRA,France,Europe,Healthcare,3.8e-05,0.408218,0.0001,0.014399,0.0653
FRA,France,Europe,Political Stability,-0.004728,10.221617,0.3709,0.025933,0.066
GBR,United Kingdom,Europe,Climate & Energy,0.002574,-4.530803,0.2525,0.018651,0.092
GBR,United Kingdom,Europe,Digital Infrastructure,0.030869,-61.407601,0.8497,0.054679,0.0978
GBR,United Kingdom,Europe,Economic Fragility,8.2e-05,0.556429,0.0004,0.016398,0.0635
GBR,United Kingdom,Europe,Food Security,8.9e-05,0.652602,0.0007,0.01377,0.0731
GBR,United Kingdom,Europe,Healthcare,0.003752,-7.212527,0.5977,0.012965,0.0653
GBR,United Kingdom,Europe,Political Stability,-0.001573,3.881708,0.0527,0.028089,0.066
GEO,Georgia,Central Asia,Climate & Energy,0.003838,-7.093023,0.5041,0.016031,0.092
GEO,Georgia,Central Asia,Digital Infrastructure,0.03519,-70.4827,0.9611,0.029821,0.0978
GEO,Georgia,Central Asia,Economic Fragility,0.000221,0.237676,0.0016,0.023027,0.0635
GEO,Georgia,Central Asia,Food Security,0.010571,-20.593194,0.4178,0.052556,0.0731
GEO,Georgia,Central Asia,Healthcare,0.005125,-9.894954,0.5804,0.018351,0.0653
GEO,Georgia,Central Asia,Political Stability,0.007369,-14.348298,0.7121,0.019732,0.066
GHA,Ghana,Africa,Climate & Energy,0.00307,-5.702314,0.457,0.014093,0.092
GHA,Ghana,Africa,Digital Infrastructure,0.015303,-30.664955,0.7964,0.032589,0.0978
GHA,Ghana,Africa,Economic Fragility,0.001387,-2.141648,0.1104,0.016587,0.0635
GHA,Ghana,Africa,Food Security,0.005997,-11.414653,0.2757,0.040931,0.0731
GHA,Ghana,Africa,Healthcare,0.001288,-2.524759,0.1048,0.015855,0.0653
GHA,Ghana,Africa,Political Stability,0.001306,-2.01131,0.0968,0.016798,0.066
GRC,Greece,Europe,Climate & Energy,0.002279,-3.922047,0.2605,0.01617,0.092
GRC,Greece,Europe,Digital Infrastructure,0.038574,-77.109795,0.9774,0.024701,0.0978
GRC,Greece,Europe,Economic Fragility,0.001239,-1.762244,0.0428,0.024667,0.0635
GRC,Greece,Europe,Food Security,0.001056,-1.350461,0.0338,0.023775,0.0731
GRC,Greece,Europe,Healthcare,0.001516,-2.59455,0.1802,0.013616,0.0653
GRC,Greece,Europe,Political Stability,-0.007154,15.05398,0.4206,0.035364,0.066
GTM,Guatemala,Central America & Caribbean,Climate & Energy,0.001574,-2.579071,0.1857,0.013876,0.092
