Global_Rank_2030,Country Code,Country Name,Region,Composite_Base,Composite_Opt,Composite_Pess,Data_Type
251,PNG,Papua New Guinea,Other,0.3562,0.3921,0.3203,Estimated
252,ZWE,Zimbabwe,Other,0.3488,0.4126,0.285,Estimated
253,TCD,Chad,Other,0.3427,0.379,0.3088,Estimated
254,CAF,Central African Republic,Other,0.3408,0.4005,0.2811,Estimated
255,ETH,Ethiopia,Africa,0.3383,0.3937,0.2829,Actual
256,PRK,"Korea, Dem. People's Rep.",Other,0.3329,0.3779,0.2879,Estimated
257,MDG,Madagascar,Africa,0.3313,0.3733,0.2892,Actual
258,YEM,"Yemen, Rep.",Other,0.3266,0.3685,0.2848,Estimated
259,SOM,"Somalia, Fed. Rep.",Other,0.3219,0.3621,0.2818,Estimated
260,NER,Niger,Other,0.3034,0.3561,0.2507,Estimated
261,BEN,Benin,Other,0.2783,0.313,0.2634,Estimated
262,ERI,Eritrea,Other,0.272,0.3088,0.2378,Estimated
263,SSD,South Sudan,Other,0.2302,0.4091,0.137,Estimated
